annotation,test_f1,test_precision,test_recall
HIV,0.34553681612505144,0.302539168017288,0.40278110764804603
env,0.44816983894582724,0.39670813893208917,0.5149730820995962
RRE,0.36963796775174934,0.30829738645013954,0.4614508165590581
HIV + env,0.5795800786660019,0.667219387755102,0.512290666927823
HIV + RRE,0.5176112379766106,0.48483277158413274,0.5551432388303399
env + RRE,0.44128062441280624,0.39835594989561585,0.49457314109833145
HIV + env + RRE,0.5720453916412953,0.6629458557865024,0.5030668873527407
HIV-1 Ψ,0.12403100775193798,0.07189072609633357,0.45146726862302483
HIV PBS,0.013649520673447168,0.006990914531309504,0.2871508379888268
HIV-1 DIS,0.07018653177363263,0.038920056100981766,0.35691318327974275
HIV-1 SD,0.029055690072639227,0.014922721620181205,0.5490196078431373
